user_id,item_name,rating
ii_voltage_ii,theHunter,2
Hirukaz,Left 4 Dead 2,3
StelerForYou,Counter-Strike: Global Offensive,3
Xx-Woods,BrainBread 2,2
kevinator23,Tokyo School Life,3
76561198090715178,Garry's Mod,3
CatsWhale,Medieval Engineers,3
76561198073784601,DayZ,5
mimimomoma,Counter-Strike: Global Offensive,1
de_Butl3r,Blacklight: Retribution,3
76561198027947401,Geometry Dash,3
76561198074200011,Counter-Strike: Global Offensive,3
jonasdbomb,ARK: Survival Evolved,3
Lord_Exploit,Assassin's Creed Rogue,3
AVATAR715,Anno 2070,2
YieuwMage,Counter-Strike: Global Offensive,3
76561198078752187,Counter-Strike: Source,1
A-Very-Sly-Person,Unturned,3
76561198211054671,Counter-Strike: Global Offensive,1
76561197994493402,Tom Clancy's The Division,3
Koolcaz12,Master of Orion,4
76561198065656175,Sakura Clicker,3
97396295,Robocraft,5
76561198126640317,7 Days to Die,3
DemonicWolvz,Saints Row: The Third,3
DieMadchenschanderin,ARK: Survival Evolved,3
Myther43,Evolve Stage 2,5
getf0kinn0sc0pedm9,Counter-Strike: Global Offensive,1
76561198141443390,Counter-Strike: Global Offensive,5
whodafuqisthisguilao,Counter-Strike: Global Offensive,5
Magjiikal,Pixel Galaxy,5
76561198050347115,The Witcher 3: Wild Hunt,3
2768820078,METAL GEAR SOLID V: THE PHANTOM PAIN,3
76561198056392326,Savant - Ascent,3
2d4nk4m3,Cubic Castles,2
76561198078478151,Counter-Strike: Global Offensive,3
exiaez,Hacknet,3
76561198095921854,Tropico 5,5
EizanAratoFujimaki,Half-Life,3
TeCool,Influent,3
jewxxl,Sins of a Dark Age,5
76561198088944293,Tom Clancy's Rainbow Six Siege,3
76561198092540221,Portal,3
76561198051258119,Counter-Strike: Global Offensive,3
nubquake123,Epic Battle Fantasy 4,3
Pyromanic,Poker Night at the Inventory,3
CobRazor,Rust,1
relesprit,Sid Meier's Civilization V,5
WitchHunter4542,Unturned,5
pwrt,Warframe,3
76561198115868847,Chivalry: Medieval Warfare,1
76561198031207016,Sid Meier's Civilization V,5
76561198043458582,Terraria,1
smashiroshh,PAYDAY 2,3
shark854,Just Cause 3,5
76561198047630659,Warframe,2
1337lolroflmao,Grand Theft Auto V,3
sithjjf,BLOCKADE 3D,2
OzfurAtlas,PAYDAY 2,2
76561198065593074,Unturned,2
76561198044169764,Heroes & Generals,2
euzi,War Thunder,5
76561198074935997,DayZ,2
76561197961778802,Counter-Strike: Global Offensive,5
76561198016602703,Robocraft,2
76561198087010391,Garry's Mod,5
66666669999999,BLOCKADE 3D,2
76561198061174192,Kerbal Space Program,5
ReMiXOfficalSteam,Dead Realm,5
Wilfire77,theHunter: Primal,3
Mastic,Trove,2
76561198028286104,Call of Duty: Modern Warfare 2,5
tarjla,The Forest,3
deathnz1,Defense Technica,2
readingthis4noobs,Heroes & Generals,3
76561198104393251,Unturned,3
76561198075322986,Counter-Strike: Global Offensive,3
redsncrimson,Square's Route,3
76561198151910904,Rocket League,5
H1DD3NT3RR0R,Counter-Strike: Source,3
76561198071214618,Magicite,3
t8s,Ultimate Tic-Tac-Toe,3
pikawuu2,Warframe,3
Sammeh00,Robocraft,3
Michaelele,STAR WARS™ Battlefront™ II,1
76561198045754869,LISA,1
76561198076098774,WAKFU,5
76561198048417105,Grand Theft Auto V,3
76561198090842891,Just Cause 2,3
76561198055767971,Nether,2
76561197998052647,Ascend: Hand of Kul,3
adohya343,Dead Bits,2
76561198145436942,DayZ,3
3xotic26,Left 4 Dead,3
iamthetrashlord,Saints Row IV,3
3dster,Left 4 Dead 2,5
76561198079990063,Beatbuddy: Tale of the Guardians,5
Forty-Nine,DayZ,3
76561198051017916,Moonrise,3
L4M1NAS,Heroes & Generals,3
76561198096766604,Robocraft,2
76561197995322437,Subnautica,3
imsojipper,PAYDAY 2,3
76561198084542731,Saints Row IV,3
mrpfresh,Dungeon Defenders II,1
EHS-R3AP3R,ZOMBI,2
chidori_647,Grim Dawn,3
76561198092227136,Counter-Strike: Global Offensive,5
hellcat59,Garry's Mod,3
tbimperator,Rising Storm/Red Orchestra 2 Multiplayer,5
Allahu_Akbar666,Warframe,5
ulramite,LogicBots,3
-GM-Dragon,Infestation: Survivor Stories Classic,1
76561198054040292,Only If,3
76561198078799606,NBA 2K16,1
I_DID_911_JUST_SAYING,Gear Up,5
750805,Slain: Back from Hell,2
diabeticfuck,PAYDAY 2,1
76561198054465623,BLOCKADE 3D,2
abiam,Path of Exile,3
FrankoWalker,The Way of Life Free Edition,3
LightfootSword7,DayZ,2
SALTTHEW0UND,Risk of Rain,3
express157,Unturned,3
76561198074644990,The Forest,3
76561198064304806,Counter-Strike: Global Offensive,1
TomoeMamiewe,Prototype,3
76561198057086148,Total War: ROME II - Emperor Edition,3
Acidius99,PAYDAY 2,5
acorn13,Sakura Spirit,3
AddzyTheBaddzy,Brawlhalla,5
mrfunkyjunkie,Planetary Annihilation,3
mradobe7,No Man's Sky,1
76561198167207237,Paint the Town Red,3
cancerkek,Counter-Strike: Global Offensive,3
76561198073508075,Call of Duty: World at War,5
76561198074323290,Rust,2
76561198090899557,Rust,1
advenger95,Fallout 3 - Game of the Year Edition,3
EndAtHallow,Killing Floor,3
76561198015968275,Door Kickers,3
Agiegamma,Loadout,3
76561198082614708,Blockland,3
Agronoth,Space Engineers,3
UnholyFallenAngel,World of Guns: Gun Disassembly,5
76561198068565589,DayZ,3
SlutOnTheSpit,Garry's Mod,5
WestyGaming,Cry of Fear,3
NaruseAiria,Double Action: Boogaloo,5
76561198067713802,Soldier Front 2,3
76561198187212131,Counter-Strike: Global Offensive,5
76561198044678148,Montaro,3
Alex680,Garry's Mod,5
alansiulun,Football Manager 2015,5
Albolah,Putt-Putt Joins the Parade,3
76561198003056556,What's under your blanket !?,2
maxpaynepillkiller,Life Is Strange™,1
AlexNoClutch,Castle Story,2
Alexwai04,PAYDAY 2,3
76561198095481910,Loadout,1
76561198164545985,Counter-Strike: Global Offensive,5
AlkalineDeath,Baldur's Gate: Enhanced Edition,3
76561198075935236,Infestation: Survivor Stories Classic,3
mintifreshbadger,Rising Storm/Red Orchestra 2 Multiplayer,3
AlpacaRevolution,Star Trek Online,3
AlphaBryn444,Interstellar Marines,3
76561198071952798,Dead by Daylight,3
76561198016753953,HAWKEN,5
smegmyfoodle,Besiege,3
76561198057869849,Stranded Deep,5
76561198058836921,Starbound,5
lol_ursuchanoob,PAYDAY 2,1
AMV72,To the Moon,5
76561198085956238,Ace of Spades,1
76561198132540690,Counter-Strike: Global Offensive,3
711armageddoncarmageddon,Monaco,3
76561198034868596,FINAL FANTASY X/X-2 HD Remaster,3
Andraison,Rock of Ages,1
76561198055790408,Crusader Kings II,5
76561198069560699,Left 4 Dead 2,3
76561198099625419,Warframe,3
76561198084032274,Heroes & Generals,1
Angrovar,Spore,3
AngryAinsley,Double Action: Boogaloo,3
uradumbtit,Always Sometimes Monsters,3
76561198037038784,Space Pirates and Zombies 2,3
IKillNoobsFirst,Counter-Strike: Global Offensive,5
76561198037888300,fault - milestone two side:above,5
1234865654,Fallout: New Vegas,5
76561198084123358,Star Trek Online,5
Apachehavoc,Arma 3,2
ApexNZ,Super Hexagon,3
76561198039441595,Monaco,2
76561198036687918,Fallout 4,3
benjamin27,Counter-Strike: Global Offensive,3
AppoGetsSuperAdmin,The Lord of the Rings Online™,3
76561198071475367,Midnight Club II,3
76561198049916759,Grim Dawn,5
76561198065064829,Chivalry: Medieval Warfare,5
XABLAUziitu,Gear Up,4
76561198012909706,Dungeonland,5
dragonchief,Rust,2
76561198040530605,Melody's Escape,3
76561197974500703,Borderlands,3
76561198047185525,South Park™: The Stick of Truth™,5
sweep6060,Undertale,1
76561198021244661,Terraria,3
76561198088538797,Blacklight: Retribution,5
deployablearchnagel,Fistful of Frags,3
armouredmarshmallow,Assassin's Creed II,3
76561198020928326,Half-Life,3
Array71,EVE Online,1
76561198039874575,DayZ,1
arronlim13,Spiral Knights,5
ARTHERDUNGER10,The Binding of Isaac: Rebirth,5
Mackus1011,Starbound,5
76561198041877981,Bloody Good Time,2
ARZARNAR,Kerbal Space Program,5
darkmassieh,Dead Space 2,3
asianturtlefrenzy,Kingdom Rush,3
76561198082992295,Garry's Mod,3
LaLocaDeLosDulces,Counter-Strike: Condition Zero,3
76561198064352761,"Warhammer® 40,000™: Dawn of War® II – Retribution™",3
assassin_warman,Hyper Light Drifter,3
Astrelt,Time Clickers,3
76561198091740831,Scrap Mechanic,3
AtomicWoodchuck,DiRT Rally,2
Swish0009,PAYDAY 2,3
Aurora99,The Elder Scrolls V: Skyrim,3
76561198053071988,Grand Theft Auto V,1
76561198083375450,Sacred 2 Gold,3
scroopy22,Blood Bowl 2,3
auzmoz,Children of the Nile,3
auzzie_96,Endless Legend,5
fatrangacuntnolifevirgin,Call of Duty: Black Ops II,5
76561198064150679,The Witcher 2: Assassins of Kings Enhanced Edition,5
76561198110293299,Goat Simulator,5
de_triggered,Lambda Wars Beta,1
76561198071748311,Undertale,5
Azrafael,The Incredible Adventures of Van Helsing,3
-Azsael-,Galactic Civilizations III,3
76561198076301023,7 Days to Die,3
hoarbiscuit,Saints Row: The Third,3
bohgeraltofrivia,Dead Sky,3
TeH-B-Rad,Counter-Strike: Global Offensive,3
BAW_Killer,DayZ,3
gamerdude7892,Fallout: New Vegas,3
BBBirb,Garry's Mod,5
76561197998761331,Fractured Space,3
76561198064579722,Garry's Mod,3
76561198096750939,Garry's Mod,3
potatoskins,Far Cry® 3 Blood Dragon,5
crispymemesmantheyremyfavourite,Warframe,5
76561198074409406,WARMODE,1
H-Alo,Besiege,3
420Blz,Arma 3,5
76561198076548816,Realm of the Mad God,1
chillrend,DayZ,3
lukeyturley,Counter-Strike: Global Offensive,5
PolygonCloud,Chronicle: RuneScape Legends,3
BOB_200,Geometry Wars: Retro Evolved,3
76561198070735033,Crazy Cars - Hit the Road,2
76561198018560501,Empire: Total War,5
76561198069458790,Counter-Strike: Global Offensive,3
76561198051148175,PAYDAY 2,1
76561198047208452,Far Cry® 3,5
generalale,Thief,1
76561198071234254,Realm of the Mad God,3
76561198165870150,The Elder Scrolls V: Skyrim,3
76561197988934555,War Thunder,3
Infixation,Hero of the Kingdom II,3
76561198071162228,PAYDAY 2,3
76561198047304525,Hammerwatch,3
76561197994969639,Dead Island,5
JuanManSnipez,Counter-Strike: Global Offensive,3
Ben_Andy,Cannons Lasers Rockets,2
Bennysaputra,Counter-Strike,3
76561198067021476,Counter-Strike: Global Offensive,1
76561198190487725,Rust,3
76561198045071942,Fractured Space,5
Bhappiikhat,Unturned,5
Ahahahahahahahahahahahahahahaha,Clicker Heroes,3
BITCHPLESE,H1Z1: Just Survive,1
Too_1337,Half-Life 2,5
kinglemon1222,Mount & Blade: Warband,5
76561198030636321,Cities: Skylines,1
76561198007342405,Total War: WARHAMMER,3
IJustWantedToTalk,Garry's Mod,3
76561198081885254,Fistful of Frags,3
76561198034643189,Spintires,1
LlamasInNigjamas,Counter-Strike: Global Offensive,1
mavros88,Ghost in the Shell Stand Alone Complex First Assault Online,1
76561198035363871,Dead by Daylight,2
Hummingsenpai,Dirty Bomb,3
CHAAANG,Aliens vs. Predator,1
76561198056980314,War Thunder,3
bitmat,Infinifactory,3
76561198028483487,Pinball Arcade,5
Ghoster09,Gotham City Impostors: Free To Play,3
76561198081496844,STAR WARS™ Battlefront™ II,5
Barridos,Garry's Mod,3
Blackhawk611,Total War: WARHAMMER,3
76561197988863895,Contagion,2
76561198042728201,DayZ,3
hbk1462,Garry's Mod,5
76561198057521157,Reign Of Kings,3
76561198053766465,DARK SOULS III,5
76561198057389499,Insurgency,3
FHK,Transistor,5
Bluegills,Crawl,3
76561197970931849,REDCON,5
rrbr,Rise of Flight United,1
13lazer,Arma 2: Operation Arrowhead,3
76561198044344399,Dead Realm,3
76561197999613236,7 Days to Die,5
RespekPlox,The Elder Scrolls V: Skyrim,3
76561198062288797,Dirty Bomb,5
bobseagull,Counter-Strike: Global Offensive,5
bokkkbokkk,ARK: Survival Evolved,3
Bonesdontrattlethem,DARK SOULS™ II: Scholar of the First Sin,3
76561198062403736,Left 4 Dead 2,3
76561198073642113,PAYDAY 2,3
76561198211433640,Squishy the Suicidal Pig,5
hididdlyhoe,Warframe,3
76561198027225504,Town of Salem,1
dicksoutforboromir,Counter-Strike: Global Offensive,2
probotsteve,Watch_Dogs,2
76561197977543317,Brütal Legend,1
BrutalLegend69,Dark Void Zero,2
76561198007539695,Defy Gravity,3
76561198064026657,Dwarfs F2P,3
76561198024450886,IMSCARED,3
saint556,Dark Souls: Prepare to Die Edition,2
Brayneeah,Thomas Was Alone,3
brettebear,Counter-Strike: Global Offensive,3
metiqu,Unturned,3
Brianseb,Angry Video Game Nerd Adventures,3
spike_heart,Commandos 2: Men of Courage,3
brocky0405,The Elder Scrolls V: Skyrim,3
76561198046094676,Time Clickers,5
Vladimirputinisgreatman,Counter-Strike: Global Offensive,3
Br0wni3,Magic Duels,3
76561198079351819,Realm of the Mad God,3
76561198093381429,Call of Duty: World at War,3
76561198110065267,Altitude,3
76561198059167106,Magicite,3
76561198105270589,Brawlhalla,3
Trutle,"Warhammer 40,000: Regicide",3
BugsyBro,Warframe,1
Jyep,Depth,3
76561198074561346,Plague Inc: Evolved,3
76561198094074209,Mandagon,5
BurningCassette,Loadout,3
76561198087011672,Planet Explorers,5
busternut,DayZ,5
Butteryyy,Terraria,3
76561198079326390,The Witcher 3: Wild Hunt,3
76561198142749308,Rust,5
897w463824638109276,Universe Sandbox,3
Butterz,Rust,3
8789568,Warframe,3
76561198112547239,The Long Dark,3
ByzGirl,Realm of the Mad God,3
C14M8S,Starbound,3
1122305938,Path of Exile,5
76561198069050565,Cities: Skylines,5
Cabey64,Nidhogg,5
Cabjoy,ARK: Survival Evolved,2
76561198082278758,Magicka,5
Stormaggen,Deus Ex: Human Revolution - Director's Cut,3
gusvu,METAL GEAR SOLID V: THE PHANTOM PAIN,1
Punixa,RWBY: Grimm Eclipse,5
76561198051084367,Of Guards And Thieves,5
76561198044402508,"Sir, You Are Being Hunted",3
76561198081987102,Fallout: New Vegas,3
calii,Guns of Icarus Online,5
76561198084718144,"Warhammer® 40,000™: Dawn of War® II – Retribution™",3
76561198077034833,Beat Hazard,5
calypto52,Pro Gamer Manager,2
camduman,Surgeon Simulator,3
camquarter,Mortal Kombat Kollection,2
aquelecaraqfazaquilo,Garry's Mod,3
76561198079009374,Shadowrun Chronicles - Boston Lockdown,5
76561197992910116,Far Cry® 3,5
jonjon4351,Fallout: New Vegas,3
76561198008551473,The Elder Scrolls V: Skyrim,3
ThePyrite99,DayZ,1
76561198062276935,Rust,3
CAPTAINVRITRAS,Undertale,3
ConkerBirdy,Terraria,5
76561198078194423,Garry's Mod,5
76561198067657905,Emily is Away,3
76561198070072786,Counter-Strike: Global Offensive,3
76561197966764681,The Long Dark,3
76561198007988939,Odysseus: Long Way Home,3
76561197996092338,Garry's Mod,5
carouserwhite,Rust,3
76561198045631910,PlanetSide 2,5
76561198078670623,Mortal Online,5
Lord_Casso,Stardew Valley,5
76561198058789410,Mount & Blade: Warband,3
76561198070087725,Dino D-Day,1
fsfs546hd,Godus,2
76561198045283919,SpeedRunners,3
76561198081438874,Command and Conquer: Red Alert 3,5
76561198072411281,Age of Empires® III: Complete Collection,3
76561198032143135,Arma 3,5
CrazyGiraffe71,Brütal Legend,5
chalkmetal,Spelunky,3
kggj,Insurgency,3
elheat,Warframe,3
ElementalGodChaos,Blackguards,3
76561197971917242,Counter-Strike: Global Offensive,3
melonmaniac,Terraria,3
76561198048491595,Counter-Strike: Global Offensive,3
76561198074108172,XCOM: Enemy Unknown,3
charmaps5,Counter-Strike: Global Offensive,2
mexz1999,Robocraft,3
IchMasKung,Don't Starve,3
HoxtonPleaseDontSueMe,Rust,3
76561198051215704,Robocraft,2
76561198058842042,Spiral Knights,1
76561198074291619,The Elder Scrolls V: Skyrim,3
cheetahpocalypse,Hurtworld,1
Axzothrift,Brawlhalla,5
76561198283109848,GRIP,3
Chermoil,Unturned,3
harharharharhar,Tabletop Simulator,5
chicken_tonight,Bastion,5
chidvd,Warframe,3
76561198056960847,Aftermath,2
76561198052700471,Hearts of Iron III,2
76561198097450390,Tom Clancy's The Division,2
76561197981448997,Goat Simulator,3
aerpub,Robocraft,3
76561198078733772,Terraria,3
76561198061273070,Tribes: Ascend,3
SmeshDoge,Counter-Strike: Global Offensive,5
76561198037342853,Castle Crashers,3
76561198062869989,Golf With Your Friends,3
harrisonnorris,Garry's Mod,1
76561198142474106,Saints Row IV,5
Los_Shmurdos,NAM,3
ciborg2000,Arma 2: Operation Arrowhead,5
Mikinmash,STEINS;GATE,3
76561198060510583,Total War: WARHAMMER,5
Norf_Norf,No Man's Sky,2
76561198041840982,Five Nights at Freddy's,4
76561198056339034,Simply Chess,3
OfficialSenix,BioShock Infinite,3
mike14476,SUPERHOT,3
kelby003,Terraria,3
Clawz3z,Bad Rats,3
76561198071207551,Left 4 Dead 2,5
76561198061039259,UberStrike,5
76561198074202726,Garry's Mod,1
76561198074347537,Counter-Strike: Global Offensive,5
SurfChicken,War Thunder,2
76561198126142125,Counter-Strike: Global Offensive,2
Clouwolf,Rocket League,5
76561198043339975,Codename CURE,3
69bmw,Counter-Strike: Global Offensive,3
76561198067414480,Far Cry® 3 Blood Dragon,1
76561198078246064,PAYDAY 2,3
iamshingo,"Papers, Please",3
Rafantasma,XCOM: Enemy Unknown,3
SupermanSocks17,WWE 2K16,3
76561198061456632,Cry of Fear,3
76561198049614185,Killing Floor Mod: Defence Alliance 2,3
76561198046958203,Call of Duty: Black Ops II,2
UnseenEvangelist,Fallout 4,3
jichaelcoaching,theHunter,2
CompoBlue,Town of Salem,1
76561198172099661,Don't Starve,3
ConjuredMadness,Don't Starve,3
cookieblade,Counter-Strike: Global Offensive,3
coolslayer666,Counter-Strike: Global Offensive,3
cheese_is_illuminati,Darkest Dungeon,2
76561198042756236,NBA 2K14,3
ndrss,Fallout: New Vegas,3
76561198081677554,Grand Theft Auto V,3
76561198091515229,Kung Fury,3
NotJustAnyOrange,Path of Exile,5
Cosmonaut123456789,Fallout 4,5
76561197971591275,Sakura Clicker,2
TheCheekyOne,Counter-Strike: Global Offensive,5
aProfileInTheMidOfNowhere,Call of Duty: Black Ops II,5
76561198107928649,Company of Heroes 2,5
76561198056352983,Sakura Clicker,3
76561198104404617,Tales from the Borderlands,5
76561198071955492,FTL: Faster Than Light,3
76561198073799272,Call of Duty: Black Ops III,3
bruhbruhxd,Rust,3
Crazymac123,Terraria,3
76561198135673978,The Elder Scrolls Online: Tamriel Unlimited,2
76561198045148546,Farming Simulator 15,5
76561198077244610,Oh...Sir!,5
76561198063850360,Unturned,3
76561198080465715,Arma 2: Operation Arrowhead,5
CrimsonStormFTW,Test Drive Unlimited 2,3
76561198064305132,Ace of Spades,3
76561198067214601,StarForge,1
76561198017913139,The Binding of Isaac: Rebirth,3
OldLeakyBoat,PAYDAY 2,2
SSAANNEESS,Magic Duels,3
fatkris,Arma 3,3
cruzercru,Natural Selection 2,2
getyourmarsbar,No More Room in Hell,3
76561198107811819,Call of Duty: Black Ops,3
aweoplopo,Evolve Stage 2,1
76561198042921883,Carpe Diem,1
kanekicg,Sakura Clicker,3
76561198048024738,Sid Meier's Civilization V,5
76561198084976671,RAW - Realms of Ancient War,2
THE_ART_OF_FEEDING,Sid Meier's Civilization: Beyond Earth,3
Cynex_,Loadout,3
76561197995146150,How to Survive,3
76561198082559637,Loadout,3
76561198069345625,Call of Duty: Modern Warfare 2,5
D00MS,Arma 3,3
76561198059201575,South Park™: The Stick of Truth™,3
76561198060901683,Tomb Raider,3
76561198074763789,PAYDAY 2,2
DABLUICE,LEGO® MARVEL Super Heroes,5
BlitzGames,Counter-Strike: Global Offensive,3
DaftyTM,Robocraft,2
76561197992227006,Mount & Blade: Warband,1
76561198070775610,Garry's Mod,3
76561198012514677,Unturned,5
76561198053111161,FTL: Faster Than Light,3
76561197970691715,Rogue Legacy,3
76561198044888778,Unturned,3
mainkradxdxdx,Loadout,5
76561198101576470,DARK SOULS III,2
Dante69123,Blockstorm,3
Dantress,Robocraft,1
76561198079220364,Planetary Annihilation,3
DareTheSeal,Geometry Dash,3
blackcheeze,Total War: ATTILA,5
6dighero,Space Engineers,3
DarkDragonForce,This War of Mine,3
76561198044594262,Counter-Strike: Global Offensive,3
76561198136941803,Gnomoria,5
76561198021814659,The Expendabros,3
76561198078913614,Rise of Nations: Extended Edition,3
BOBROSSJPEGEXE,Unturned,1
blablabla174,Dark Souls: Prepare to Die Edition,3
fatppl,Evolve Stage 2,3
76561198050864519,Counter-Strike: Global Offensive,5
datts,Realm of the Mad God,5
sirkillsalot1337,Rust,5
76561198082545803,Starbound,3
76561198115099755,Counter-Strike: Global Offensive,3
76561198195091390,My Name is Mayo,3
damayo,Magicite,3
76561198084697858,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,1
76561198008827809,DARK SOULS™ II,3
76561198039605834,Tabletop Simulator,3
Yugm,PAYDAY 2,3
dblddr,The Binding of Isaac: Rebirth,3
deathbreath220,Super Amazing Wagon Adventure,5
76561198084112448,Edge of Space,1
76561198097730477,Counter-Strike: Global Offensive,3
DeepCrysis,Metro: Last Light Redux,3
shay181,STAR WARS™ Battlefront™ II,5
degen97,VR Regatta,3
76561197994831363,PAYDAY 2,2
deltalink21,Afterfall InSanity Extended Edition,1
Qzt,Ace of Spades,2
76561198052661205,Moirai,3
NZObiwan,ARK: Survival Evolved,3
76561198071716213,Counter-Strike: Global Offensive,3
76561198065988138,Metro 2033,5
Denied72,Tom Clancy's Ghost Recon Phantoms - NA,5
76561198034337192,Dead Island: Epidemic,4
76561198056953510,Counter-Strike: Global Offensive,3
76561198047363411,Blacklight: Retribution,3
76561198068479124,Empyrion - Galactic Survival,1
GetMLGRekt,Spiral Knights,5
BoyangBao,Middle-earth: Shadow of Mordor,3
meeman,Carnage Racing,3
fuzzygrilz,7 Days to Die,3
Derkness,Counter-Strike: Global Offensive,3
DerpyAura,Wargame: Red Dragon,3
76561198021745490,I am Bread,3
beepbeepimasheep,State of Decay,3
76561198032293266,Dirty Bomb,3
76561198057406795,Space Engineers,3
76561198074942714,Fistful of Frags,3
76561198091717988,Firefall,5
76561198126500843,Mighty No. 9,2
destruktikus,Space Engineers,3
76561198066881691,Castle Crashers,3
76561198042146054,Tom Clancy's Ghost Recon Phantoms - NA,1
76561198093191096,Counter-Strike: Global Offensive,3
Device600,Skullgirls,1
Devmabby,Counter-Strike: Global Offensive,5
76561197980614542,America's Army 3,2
76561197971532272,Company of Heroes,3
wenndiesoldaten,Counter-Strike: Global Offensive,3
TacticalLynx,Portal Stories: Mel,5
76561198114039731,Resident Evil 5 / Biohazard 5,5
digfernandes,ARK: Survival Evolved,3
ohplsguuby,Counter-Strike: Global Offensive,3
76561198071578365,Bleed,3
NathanielPeace,No Man's Sky,1
76561198054421576,PAYDAY 2,3
76561198072486822,Warframe,5
76561198099102298,Realm of the Mad God,5
76561198077992470,Life Is Strange™,5
76561198038374904,Beat Hazard,3
ShrikeShrikeShrikeShrikeShrike,Floating Point,3
efefuyg3g4u5u22u4yv,Terraria,1
76561198058711482,Counter-Strike: Global Offensive,3
dimitriirfan,BioShock Infinite,5
Dobble,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",5
76561198023903233,Borderlands 2,1
KingOfOpportunity,Tom Clancy's Ghost Recon Phantoms - NA,1
76561198103858676,Serious Sam 3: BFE,1
76561198083029873,Ace of Spades,1
1920410,Counter-Strike: Global Offensive,5
76561198049760472,No More Room in Hell,5
6294421419,Don't Starve,3
76561198081443272,DayZ,3
regentorange,Trove,2
76561198120646995,Sid Meier's Civilization V,3
76561197990557433,PAYDAY 2,3
diglekango,DayZ,3
76561198055370293,Brick-Force,2
duzim,Alien: Isolation,5
76561197995098683,DayZ,3
DropBear99,Grand Theft Auto V,1
banjoabbyshelly,Besiege,5
durolan2535,Borderlands: The Pre-Sequel,3
whatcanisayimjusttoogood,Space Engineers,3
123repulseMe,XCOM 2,3
76561197969800840,Hand of Fate,5
Cab117,Hardland,3
DrVendax,War Inc. Battlezone,2
76561198090773476,Spore: Galactic Adventures,2
thedragon347,To the Moon,5
76561198015157743,Counter-Strike: Global Offensive,3
76561198073725626,Dungeon Defenders II,5
76561198084378649,ARK: Survival Evolved,3
76561198172455607,Counter-Strike: Global Offensive,3
DrMolo,Resident Evil Revelations 2 / Biohazard Revelations 2,3
76561198097534775,State of Decay,3
DrumEssence,Garry's Mod,3
ashley1222,PAYDAY 2,1
dubsdoge,Rocket League,5
76561198165512984,Batman: Arkham Asylum GOTY Edition,5
mrenigmate,Clicker Heroes,5
vitoprofile,Brawlhalla,5
Axe603,Space Engineers,5
76561198057119793,Omikron - The Nomad Soul,2
76561198090724989,Counter-Strike: Global Offensive,3
Congo-Jack,Counter-Strike: Global Offensive,1
